date,open,high,low,close,volume,average,barCount
2017-08-03,1.256825,1.261865,1.255275,1.25873,-1.0,-1.0,-1
2017-08-04,1.258275,1.26679,1.255645,1.2653,-1.0,-1.0,-1
2017-08-07,1.265725,1.271505,1.26301,1.268055,-1.0,-1.0,-1
2017-08-08,1.267755,1.270625,1.26509,1.266675,-1.0,-1.0,-1
2017-08-09,1.26675,1.272165,1.266475,1.269865,-1.0,-1.0,-1
2017-08-10,1.269845,1.27455,1.267295,1.27443,-1.0,-1.0,-1
2017-08-11,1.273925,1.2753,1.26531,1.26795,-1.0,-1.0,-1
2017-08-14,1.26725,1.273085,1.267145,1.272275,-1.0,-1.0,-1
2017-08-15,1.27215,1.277845,1.2719,1.275735,-1.0,-1.0,-1
2017-08-16,1.2756,1.27706,1.26141,1.261865,-1.0,-1.0,-1
2017-08-17,1.261305,1.268395,1.25886,1.268145,-1.0,-1.0,-1
2017-08-18,1.267725,1.269135,1.255725,1.25865,-1.0,-1.0,-1
2017-08-21,1.256645,1.26072,1.255375,1.255815,-1.0,-1.0,-1
2017-08-22,1.255895,1.25953,1.252605,1.25628,-1.0,-1.0,-1
2017-08-23,1.256555,1.25985,1.25413,1.25517,-1.0,-1.0,-1
2017-08-24,1.25495,1.25612,1.251465,1.25195,-1.0,-1.0,-1
2017-08-25,1.252055,1.253985,1.246585,1.248115,-1.0,-1.0,-1
2017-08-28,1.247795,1.251035,1.244445,1.25078,-1.0,-1.0,-1
2017-08-29,1.25097,1.25503,1.244115,1.2512,-1.0,-1.0,-1
2017-08-30,1.25185,1.263735,1.250075,1.26211,-1.0,-1.0,-1
2017-08-31,1.262055,1.26633,1.247665,1.248145,-1.0,-1.0,-1
2017-09-01,1.248535,1.24918,1.23401,1.23969,-1.0,-1.0,-1
2017-09-04,1.241525,1.24266,1.23756,1.241685,-1.0,-1.0,-1
2017-09-05,1.24131,1.24178,1.233595,1.237515,-1.0,-1.0,-1
2017-09-06,1.23806,1.241505,1.213905,1.22254,-1.0,-1.0,-1
2017-09-07,1.222405,1.22414,1.211055,1.21163,-1.0,-1.0,-1
2017-09-08,1.212135,1.21656,1.20616,1.215995,-1.0,-1.0,-1
2017-09-11,1.21511,1.217065,1.20979,1.211065,-1.0,-1.0,-1
2017-09-12,1.211855,1.218975,1.208245,1.21862,-1.0,-1.0,-1
2017-09-13,1.21861,1.221985,1.213085,1.217275,-1.0,-1.0,-1
2017-09-14,1.21764,1.22397,1.215725,1.21645,-1.0,-1.0,-1
2017-09-15,1.2171,1.22187,1.21213,1.220005,-1.0,-1.0,-1
2017-09-18,1.2192,1.2338,1.217165,1.22916,-1.0,-1.0,-1
2017-09-19,1.22954,1.230895,1.225515,1.22919,-1.0,-1.0,-1
2017-09-20,1.228425,1.239065,1.21964,1.232375,-1.0,-1.0,-1
2017-09-21,1.23339,1.236805,1.232095,1.23267,-1.0,-1.0,-1
2017-09-22,1.23228,1.235135,1.225515,1.233845,-1.0,-1.0,-1
2017-09-25,1.233625,1.23851,1.231305,1.23717,-1.0,-1.0,-1
2017-09-26,1.23705,1.241335,1.233035,1.234935,-1.0,-1.0,-1
2017-09-27,1.23496,1.24827,1.23362,1.247695,-1.0,-1.0,-1
2017-09-28,1.247585,1.25195,1.24165,1.242845,-1.0,-1.0,-1
2017-09-29,1.242615,1.25326,1.24169,1.247,-1.0,-1.0,-1
2017-10-02,1.247525,1.252445,1.246825,1.25087,-1.0,-1.0,-1
2017-10-03,1.250835,1.25387,1.248075,1.2487,-1.0,-1.0,-1
2017-10-04,1.248895,1.24991,1.24487,1.247485,-1.0,-1.0,-1
2017-10-05,1.247585,1.258485,1.246215,1.256475,-1.0,-1.0,-1
2017-10-06,1.256485,1.259965,1.252565,1.253355,-1.0,-1.0,-1
2017-10-09,1.253,1.255875,1.252605,1.255075,-1.0,-1.0,-1
2017-10-10,1.25515,1.25554,1.24836,1.251535,-1.0,-1.0,-1
2017-10-11,1.251575,1.253075,1.24529,1.246085,-1.0,-1.0,-1
2017-10-12,1.245815,1.249115,1.243315,1.24747,-1.0,-1.0,-1
2017-10-13,1.24791,1.251985,1.24523,1.24674,-1.0,-1.0,-1
2017-10-16,1.247795,1.255825,1.24699,1.25182,-1.0,-1.0,-1
2017-10-17,1.251935,1.25909,1.25133,1.25219,-1.0,-1.0,-1
2017-10-18,1.252405,1.25339,1.245835,1.24667,-1.0,-1.0,-1
2017-10-19,1.246545,1.249445,1.24509,1.24849,-1.0,-1.0,-1
2017-10-20,1.248645,1.263075,1.24769,1.26261,-1.0,-1.0,-1
2017-10-23,1.2622,1.266045,1.26137,1.264785,-1.0,-1.0,-1
2017-10-24,1.26477,1.2693,1.262215,1.267525,-1.0,-1.0,-1
2017-10-25,1.26764,1.281685,1.263495,1.279575,-1.0,-1.0,-1
2017-10-26,1.2796,1.285785,1.27813,1.284715,-1.0,-1.0,-1
2017-10-27,1.284785,1.29168,1.280795,1.28096,-1.0,-1.0,-1
