open,high,low,close,volume,average,barCount
1.601395,1.601395,1.6011,1.601105,-1.0,-1.0,-1
1.601105,1.601105,1.601105,1.601105,-1.0,-1.0,-1
1.601105,1.601295,1.6011,1.601215,-1.0,-1.0,-1
1.601215,1.601335,1.601215,1.601335,-1.0,-1.0,-1
1.601335,1.601335,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.601325,1.601325,-1.0,-1.0,-1
1.601325,1.60133,1.601325,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.60133,1.60133,-1.0,-1.0,-1
1.60133,1.60133,1.601325,1.601325,-1.0,-1.0,-1
1.601325,1.60133,1.601325,1.60133,-1.0,-1.0,-1
1.60133,1.601345,1.60133,1.601335,-1.0,-1.0,-1
1.601335,1.601335,1.60133,1.601335,-1.0,-1.0,-1
1.601335,1.60134,1.60133,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.601335,1.601335,-1.0,-1.0,-1
1.601335,1.601335,1.601335,1.601335,-1.0,-1.0,-1
1.601335,1.60134,1.601335,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.601335,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.601335,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.601305,1.601305,-1.0,-1.0,-1
1.601305,1.601305,1.6013,1.601305,-1.0,-1.0,-1
1.601305,1.60131,1.6013,1.6013,-1.0,-1.0,-1
1.6013,1.60134,1.60129,1.601295,-1.0,-1.0,-1
1.601295,1.601295,1.60129,1.601295,-1.0,-1.0,-1
1.601295,1.601295,1.60129,1.601295,-1.0,-1.0,-1
1.601295,1.601355,1.60129,1.601345,-1.0,-1.0,-1
1.601345,1.601345,1.601345,1.601345,-1.0,-1.0,-1
1.601345,1.601345,1.601345,1.601345,-1.0,-1.0,-1
1.601345,1.60135,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
1.60134,1.60134,1.60134,1.60134,-1.0,-1.0,-1
