date,open,high,low,close,volume,average,barCount
2024-08-01,1.38042,1.388915,1.379485,1.387505,-1.0,-1.0,-1
2024-08-02,1.38752,1.388845,1.383405,1.387365,-1.0,-1.0,-1
2024-08-05,1.38675,1.394685,1.38093,1.382475,-1.0,-1.0,-1
2024-08-06,1.382675,1.38559,1.375665,1.378515,-1.0,-1.0,-1
2024-08-07,1.378025,1.37908,1.3721,1.375925,-1.0,-1.0,-1
2024-08-08,1.37592,1.37657,1.37267,1.37333,-1.0,-1.0,-1
2024-08-09,1.37325,1.37559,1.37182,1.37305,-1.0,-1.0,-1
2024-08-12,1.373125,1.374785,1.371865,1.374225,-1.0,-1.0,-1
2024-08-13,1.374115,1.37474,1.370535,1.37055,-1.0,-1.0,-1
2024-08-14,1.37055,1.37246,1.368895,1.37158,-1.0,-1.0,-1
2024-08-15,1.37175,1.37387,1.369535,1.37295,-1.0,-1.0,-1
2024-08-16,1.372865,1.373715,1.36778,1.36797,-1.0,-1.0,-1
2024-08-19,1.36815,1.36864,1.362985,1.36341,-1.0,-1.0,-1
2024-08-20,1.36375,1.36414,1.36051,1.362055,-1.0,-1.0,-1
2024-08-21,1.362075,1.36252,1.357575,1.35948,-1.0,-1.0,-1
2024-08-22,1.359175,1.361895,1.35713,1.36157,-1.0,-1.0,-1
2024-08-23,1.36141,1.36168,1.34988,1.350985,-1.0,-1.0,-1
2024-08-26,1.35055,1.351545,1.346315,1.34872,-1.0,-1.0,-1
2024-08-27,1.34842,1.348845,1.34428,1.34439,-1.0,-1.0,-1
2024-08-28,1.344695,1.34883,1.344105,1.34807,-1.0,-1.0,-1
2024-08-29,1.34786,1.349115,1.345015,1.34848,-1.0,-1.0,-1
2024-08-30,1.3484,1.35095,1.34656,1.3492,-1.0,-1.0,-1
2024-09-02,1.34895,1.350545,1.348555,1.349405,-1.0,-1.0,-1
2024-09-03,1.349425,1.356255,1.34921,1.355075,-1.0,-1.0,-1
2024-09-04,1.3551,1.35655,1.35001,1.350655,-1.0,-1.0,-1
2024-09-05,1.35085,1.352525,1.350225,1.350365,-1.0,-1.0,-1
2024-09-06,1.3505,1.35826,1.34661,1.35771,-1.0,-1.0,-1
2024-09-09,1.356485,1.357725,1.354645,1.355865,-1.0,-1.0,-1
2024-09-10,1.355625,1.36155,1.35555,1.36103,-1.0,-1.0,-1
2024-09-11,1.361075,1.3623,1.356675,1.35754,-1.0,-1.0,-1
2024-09-12,1.357445,1.360465,1.35651,1.358015,-1.0,-1.0,-1
2024-09-13,1.358205,1.360025,1.356535,1.358315,-1.0,-1.0,-1
2024-09-16,1.359725,1.360755,1.356685,1.358685,-1.0,-1.0,-1
2024-09-17,1.35865,1.36171,1.358025,1.35979,-1.0,-1.0,-1
2024-09-18,1.359595,1.36231,1.35405,1.360435,-1.0,-1.0,-1
2024-09-19,1.36035,1.364755,1.353315,1.35589,-1.0,-1.0,-1
2024-09-20,1.355725,1.358985,1.354205,1.35711,-1.0,-1.0,-1
2024-09-23,1.356225,1.358225,1.34871,1.354115,-1.0,-1.0,-1
2024-09-24,1.3536,1.353845,1.34308,1.34314,-1.0,-1.0,-1
2024-09-25,1.3439,1.34871,1.34196,1.34852,-1.0,-1.0,-1
2024-09-26,1.3484,1.34898,1.34577,1.346425,-1.0,-1.0,-1
2024-09-27,1.3469,1.35266,1.34637,1.351665,-1.0,-1.0,-1
2024-09-30,1.3514,1.353805,1.34897,1.35255,-1.0,-1.0,-1
2024-10-01,1.3525,1.353975,1.348105,1.34904,-1.0,-1.0,-1
2024-10-02,1.349335,1.351,1.34725,1.350215,-1.0,-1.0,-1
2024-10-03,1.3502,1.355985,1.349925,1.35548,-1.0,-1.0,-1
